"Name","DefFile","DefLine","Refs","RefsDollar","RefsAt","RefsAmp"
"COMPILADOR_TIMEOUT_COMPILACAO","resources\data\compilador_data.resource","30","1","1","0","0"
"CONTAS_PAGAR_TOOLBAR_ACOES_LOCATOR","resources\data\contas_pagar_data.resource","52","1","1","0","0"
"CONTAS_PAGAR_TOOLBAR_ASSINATURA_DIGITAL_INDEX","resources\data\contas_pagar_data.resource","66","1","1","0","0"
"CONTAS_PAGAR_TOOLBAR_BPM_INDEX","resources\data\contas_pagar_data.resource","67","1","1","0","0"
"CONTAS_PAGAR_TOOLBAR_CHAVES_PIX_INDEX","resources\data\contas_pagar_data.resource","63","1","1","0","0"
"CONTAS_PAGAR_TOOLBAR_CONFIRMAR_PARCELA_INDEX","resources\data\contas_pagar_data.resource","54","1","1","0","0"
"CONTAS_PAGAR_TOOLBAR_DEVOLUCAO_INDEX","resources\data\contas_pagar_data.resource","62","1","1","0","0"
"CONTAS_PAGAR_TOOLBAR_FILTRAR_NOTA_FISCAL_INDEX","resources\data\contas_pagar_data.resource","58","1","1","0","0"
"CONTAS_PAGAR_TOOLBAR_FILTRAR_PROCESSOS_INDEX","resources\data\contas_pagar_data.resource","64","1","1","0","0"
"CONTAS_PAGAR_TOOLBAR_GERAR_NFE_INDEX","resources\data\contas_pagar_data.resource","61","1","1","0","0"
"CONTAS_PAGAR_TOOLBAR_HISTORICO_DVQ_INDEX","resources\data\contas_pagar_data.resource","65","1","1","0","0"
"CONTAS_PAGAR_TOOLBAR_IMPRIMIR_DROPDOWN_INDEX","resources\data\contas_pagar_data.resource","60","1","1","0","0"
"CONTAS_PAGAR_TOOLBAR_NOVO_INDEX","resources\data\contas_pagar_data.resource","53","1","1","0","0"
"CONTAS_PAGAR_TOOLBAR_PROTOCOLO_INDEX","resources\data\contas_pagar_data.resource","57","1","1","0","0"
"CONTAS_PAGAR_TOOLBAR_VISOES_ANALISE_INDEX","resources\data\contas_pagar_data.resource","79","1","1","0","0"
"CONTAS_PAGAR_TOOLBAR_VISOES_PROCESSOS_INDEX","resources\data\contas_pagar_data.resource","78","1","1","0","0"
"DIAG_MAX_CONTROLES_POR_CLASSE","tests\90_examples\21_diagnosticar_estrutura_tela_uauxt.robot","19","1","1","0","0"
"el","resources\apps\uauxt.resource","376","1","1","0","0"
"EXECUTAR_FILTRO","tests\flows\financeiro\01_emissao_pagamentos.robot","9","1","1","0","0"
"FIN_EMI_GRID_COLS_MAIN","resources\data\financeiro_data.resource","28","1","1","0","0"
"FIN_EMI_GRID_COLS_SEC","resources\data\financeiro_data.resource","29","1","1","0","0"
"FIN_EMI_JANELA_MAINVIEW_LOCATOR","resources\data\financeiro_data.resource","23","1","1","0","0"
"FIN_EMI_MENU_CAMINHO","resources\data\financeiro_data.resource","8","1","0","1","0"
"FIN_EMI_SSTAB_LOCATOR","resources\data\financeiro_data.resource","27","1","1","0","0"
"FIN_EMI_TB_BOTOES_MAPEADOS","resources\data\financeiro_data.resource","30","1","1","0","0"
"folder_exists","resources\apps\compilador.resource","197","1","1","0","0"
"ID_BOTAO_BUSCAR_LOCAL_SAIDA","resources\data\compilador_data.resource","23","1","1","0","0"
"ID_BOTAO_COMPILAR_COMPONENTES","resources\data\compilador_data.resource","19","1","1","0","0"
"ID_BOTAO_COMPILAR_MODULOS","resources\data\compilador_data.resource","22","1","1","0","0"
"ID_BOTAO_COPIAR_COMPONENTES_EXTERNOS","resources\data\compilador_data.resource","25","1","1","0","0"
"ID_BOTAO_COPIAR_PROJETOS","resources\data\compilador_data.resource","26","1","1","0","0"
"ID_BOTAO_VERSAO_APLICAR","resources\data\compilador_data.resource","20","1","1","0","0"
"ID_CHECKBOX_COPIAR_MODULOS","resources\data\compilador_data.resource","24","1","1","0","0"
"ID_CHECKBOX_MARCAR_COMPONENTES","resources\data\compilador_data.resource","15","1","1","0","0"
"ID_CHECKBOX_MARCAR_COMPONENTES_FIXO","resources\data\compilador_data.resource","16","1","1","0","0"
"ID_CHECKBOX_MARCAR_MODULOS","resources\data\compilador_data.resource","21","1","1","0","0"
"ID_EXPLORER_SCC","resources\data\vs_data.resource","19","1","1","0","0"
"ID_GRID_MODULOS","resources\data\compilador_data.resource","14","1","1","0","0"
"ID_PANEL_ROOT","resources\data\compilador_data.resource","17","1","1","0","0"
"ID_VERSAO_CAMPO","resources\data\compilador_data.resource","18","1","1","0","0"
"LINHA_VENDA_ALVO","tests\flows\vendas\01_resumo_de_venda.robot","9","1","1","0","0"
"result","resources\apps\uauxt_grid.resource","52","1","1","0","0"
"resultado","resources\core\ui_helpers.resource","27","1","1","0","0"
